ST_NAME,PC_NAME,ST_CODE,PC_CODE,Res,PC_NAME2,myneta PC_NAME_myneta PC_Name,myneta Sno,myneta Candidate,myneta Party,myneta Criminal Case,myneta Education,myneta Education Points,myneta Total Assets,myneta Liabilities
AS,Lakhimpur,S03,14,GEN,Lakhimpur,,310,Sarbananda Sonowal,BJP,0,Graduate Professional,17,14497515,0
AS,Tezpur,S03,9,GEN,Tezpur,,497,Ram Prasad Sarmah,BJP,0,Graduate Professional,17,6655300,0
AS,Nagaon,S03,10,GEN,Nowgong,Nowgong,391,Rajen Gohain,BJP,1,Graduate Professional,17,24736544,5328287
BR,Arrah,S04,32,GEN,Arrah,,36,Raj Kumar Singh,BJP,0,Graduate Professional,17,48403293,0
BR,Sheohar,S04,4,GEN,Sheohar,,463,Rama Devi,BJP,6,Graduate Professional,17,308591850,0
CG,Rajnandgaon,S26,6,GEN,Rajnandgaon,,432,Abhishek Singh,BJP,0,Graduate Professional,17,44093207,0
CG,Mahasamund,S26,9,GEN,Mahasamund,,326,Chandu Lal Sahu (Chandu Bhaiya) S/O Late Puneen Ram,BJP,0,Graduate Professional,17,20879652,2700000
CG,Korba,S26,4,GEN,Korba,,300,Dr. Banshilal Mahato,BJP,0,Graduate Professional,17,72303762,382905
DL,South Delhi,U05,7,GEN,South Delhi,,482,Ramesh Bidhuri,BJP,4,Graduate Professional,17,147493056,0
DL,New Delhi,U05,4,GEN,New Delhi,,385,Smt. Meenakshi Lekhi,BJP,0,Graduate Professional,17,349916470,3275562
GA,South Goa,S05,2,GEN,South Goa,,483,Adv. Narendra Keshav Sawaikar,BJP,0,Graduate Professional,17,6260382,0
GJ,Patan,S06,3,GEN,Patan,,403,Vaghela Liladharbhai Khodaji,BJP,0,Graduate Professional,17,15384027,0
GJ,Dohad,S06,19,ST,Dahod,Dahod,140,Bhabhor Jasvantsinh Sumanbhai,BJP,0,Graduate Professional,17,19661231,1741547
GJ,Valsad,S06,26,ST,Valsad,,528,Dr. K.C.Patel,BJP,0,Graduate Professional,17,131141867,2381344
GJ,Gandhinagar,S06,6,GEN,Gandhinagar,,182,Lal Krishna Advani,BJP,1,Graduate Professional,17,75915276,0
GJ,Bhavnagar,S06,15,GEN,Bhavnagar,,95,Shyal Bhartiben Dhirubhai,BJP,0,Graduate Professional,17,7748925,3072058
HP,Kangra,S08,1,GEN,Kangra,,263,Shanta Kumar,BJP,0,Graduate Professional,17,19852104,0
